serial;ambient_temp_C;humidity;object_temp_C;cooling_state;critical_level;time_min
368;-11.25;0.56;-11.25;0.0;0;368
369;-11.19;0.56;-11.19;0.0;0;369
370;-11.25;0.56;-11.25;0.0;0;370
371;-11.19;0.56;-11.19;0.0;0;371
372;-11.25;0.56;-11.25;0.0;0;372
373;-11.25;0.56;-11.25;0.0;0;373
374;-11.25;0.56;-11.25;0.0;0;374
375;-11.25;0.57;-11.25;0.0;0;375
376;-11.25;0.57;-11.25;0.0;0;376
377;-11.25;0.57;-11.25;0.0;0;377
378;-11.25;0.57;-11.25;0.0;0;378
379;-11.19;0.57;-11.19;0.0;0;379
380;-11.25;0.57;-11.25;0.0;0;380
381;-11.19;0.57;-11.19;0.0;0;381
382;-11.25;0.57;-11.25;0.0;0;382
383;-11.25;0.57;-11.25;0.0;0;383
384;-11.19;0.57;-11.19;0.0;0;384
385;-11.19;0.57;-11.19;0.0;0;385
386;-11.25;0.57;-11.25;0.0;0;386
387;-11.25;0.57;-11.25;0.0;0;387
388;-11.25;0.57;-11.25;0.0;0;388
389;-11.19;0.57;-11.19;0.0;0;389
390;-11.19;0.57;-11.19;0.0;0;390
391;-11.19;0.57;-11.19;0.0;0;391
392;-11.25;0.57;-11.25;0.0;0;392
393;-11.25;0.57;-11.25;0.0;0;393
394;-11.25;0.57;-11.25;0.0;0;394
395;-11.25;0.57;-11.25;0.0;0;395
396;-11.19;0.57;-11.19;0.0;0;396
397;-11.25;0.57;-11.25;0.0;0;397
398;-11.19;0.57;-11.19;0.0;0;398
399;-11.25;0.57;-11.25;0.0;0;399
400;-11.19;0.57;-11.19;0.0;0;400
401;-11.19;0.57;-11.19;0.0;0;401
402;-11.19;0.57;-11.19;0.0;0;402
403;-11.19;0.57;-11.19;0.0;0;403
404;-11.19;0.57;-11.19;0.0;0;404
405;-11.19;0.57;-11.19;0.0;0;405
406;-11.25;0.57;-11.25;0.0;0;406
407;-11.19;0.57;-11.19;0.0;0;407
408;-11.19;0.57;-11.19;0.0;0;408
409;-11.19;0.57;-11.19;0.0;0;409
410;-11.19;0.57;-11.19;0.0;0;410
411;-11.25;0.57;-11.25;0.0;0;411
412;-11.19;0.57;-11.19;0.0;0;412
413;-11.19;0.57;-11.19;0.0;0;413
414;-11.19;0.57;-11.19;0.0;0;414
415;-11.19;0.57;-11.19;0.0;0;415
416;-11.19;0.57;-11.19;0.0;0;416
417;-11.25;0.57;-11.25;0.0;0;417
418;-11.19;0.57;-11.19;0.0;0;418
419;-11.19;0.57;-11.19;0.0;0;419
420;-11.25;0.56;-11.25;0.0;0;420
421;-11.19;0.56;-11.19;0.0;0;421
422;-11.19;0.56;-11.19;0.0;0;422
423;-11.19;0.56;-11.19;0.0;0;423
424;-11.19;0.56;-11.19;0.0;0;424
425;-11.25;0.56;-11.25;0.0;0;425
426;-11.19;0.56;-11.19;0.0;0;426
427;-11.19;0.56;-11.19;0.0;0;427
428;-11.19;0.56;-11.19;0.0;0;428
429;-11.19;0.56;-11.19;0.0;0;429
430;-11.19;0.56;-11.19;0.0;0;430
431;-11.19;0.56;-11.19;0.0;0;431
432;-11.19;0.56;-11.19;0.0;0;432
433;-11.19;0.56;-11.19;0.0;0;433
434;-11.19;0.56;-11.19;0.0;0;434
435;-11.19;0.56;-11.19;0.0;0;435
436;-11.19;0.56;-11.19;0.0;0;436
437;-11.19;0.56;-11.19;0.0;0;437
438;-11.19;0.56;-11.19;0.0;0;438
439;-11.19;0.56;-11.19;0.0;0;439
440;-11.19;0.56;-11.19;0.0;0;440
441;-11.19;0.56;-11.19;0.0;0;441
442;-11.19;0.56;-11.19;0.0;0;442
443;-11.19;0.56;-11.19;0.0;0;443
444;-11.19;0.56;-11.19;0.0;0;444
445;-11.19;0.56;-11.19;0.0;0;445
446;-11.19;0.56;-11.19;0.0;0;446
447;-11.19;0.56;-11.19;0.0;0;447
448;-11.19;0.56;-11.19;0.0;0;448
449;-11.19;0.56;-11.19;0.0;0;449
450;-11.19;0.56;-11.19;0.0;0;450
451;-11.19;0.56;-11.19;0.0;0;451
452;-11.19;0.56;-11.19;0.0;0;452
453;-11.19;0.56;-11.19;0.0;0;453
454;-11.19;0.56;-11.19;0.0;0;454
455;-11.19;0.56;-11.19;0.0;0;455
456;-11.19;0.56;-11.19;0.0;0;456
457;-11.19;0.56;-11.19;0.0;0;457
458;-11.19;0.56;-11.19;0.0;0;458
459;-11.19;0.56;-11.19;0.0;0;459
460;-11.19;0.56;-11.19;0.0;0;460
461;-11.19;0.56;-11.19;0.0;0;461
462;-11.19;0.56;-11.19;0.0;0;462
463;-11.19;0.56;-11.19;0.0;0;463
464;-11.19;0.56;-11.19;0.0;0;464
465;-11.19;0.56;-11.19;0.0;0;465
466;-11.19;0.56;-11.19;0.0;0;466
467;-11.19;0.56;-11.19;0.0;0;467
468;-11.19;0.56;-11.19;0.0;0;468
469;-11.19;0.56;-11.19;0.0;0;469
470;-11.19;0.56;-11.19;0.0;0;470
471;-11.19;0.56;-11.19;0.0;0;471
472;-11.19;0.56;-11.19;0.0;0;472
473;-11.19;0.56;-11.19;0.0;0;473
474;-11.19;0.56;-11.19;0.0;0;474
475;-11.19;0.56;-11.19;0.0;0;475
476;-11.19;0.56;-11.19;0.0;0;476
477;-11.19;0.56;-11.19;0.0;0;477
478;-11.19;0.56;-11.19;0.0;0;478
479;-11.19;0.56;-11.19;0.0;0;479
480;-11.19;0.56;-11.19;0.0;0;480
481;-11.19;0.56;-11.19;0.0;0;481
482;-11.19;0.56;-11.19;0.0;0;482
483;-11.19;0.56;-11.19;0.0;0;483
484;-11.19;0.56;-11.19;0.0;0;484
485;-11.19;0.56;-11.19;0.0;0;485
486;-11.19;0.56;-11.19;0.0;0;486
487;-11.19;0.56;-11.19;0.0;0;487
488;-11.19;0.57;-11.19;0.0;0;488
489;-11.19;0.57;-11.19;0.0;0;489
490;-11.19;0.57;-11.19;0.0;0;490
491;-11.19;0.57;-11.19;0.0;0;491
492;-11.19;0.57;-11.19;0.0;0;492
493;-11.19;0.57;-11.19;0.0;0;493
494;-11.19;0.57;-11.19;0.0;0;494
495;-11.19;0.57;-11.19;0.0;0;495
496;-11.19;0.57;-11.19;0.0;0;496
497;-11.19;0.57;-11.19;0.0;0;497
498;-11.19;0.57;-11.19;0.0;0;498
499;-11.19;0.57;-11.19;0.0;0;499
500;-11.19;0.57;-11.19;0.0;0;500
501;-11.19;0.57;-11.19;0.0;0;501
502;-11.19;0.57;-11.19;0.0;0;502
503;-11.19;0.57;-11.19;0.0;0;503
504;-11.19;0.57;-11.19;0.0;0;504
505;-11.19;0.57;-11.19;0.0;0;505
506;-11.19;0.57;-11.19;0.0;0;506
507;-11.19;0.57;-11.19;0.0;0;507
508;-11.19;0.57;-11.19;0.0;0;508
509;-11.19;0.57;-11.19;0.0;0;509
510;-11.19;0.57;-11.19;0.0;0;510
511;-11.19;0.57;-11.19;0.0;0;511
512;-11.19;0.57;-11.19;0.0;0;512
513;-11.19;0.57;-11.19;0.0;0;513
514;-11.19;0.57;-11.19;0.0;0;514
515;-11.19;0.57;-11.19;0.0;0;515
516;-11.19;0.57;-11.19;0.0;0;516
517;-11.19;0.57;-11.19;0.0;0;517
518;-11.19;0.57;-11.19;0.0;0;518
519;-11.19;0.57;-11.19;0.0;0;519
520;-11.19;0.57;-11.19;0.0;0;520
521;-11.19;0.57;-11.19;0.0;0;521
522;-11.19;0.57;-11.19;0.0;0;522
523;-11.19;0.57;-11.19;0.0;0;523
524;-11.19;0.57;-11.19;0.0;0;524
525;-11.19;0.57;-11.19;0.0;0;525
526;-11.19;0.57;-11.19;0.0;0;526
527;-11.19;0.57;-11.19;0.0;0;527
528;-11.19;0.57;-11.19;0.0;0;528
529;-11.19;0.57;-11.19;0.0;0;529
530;-11.19;0.57;-11.19;0.0;0;530
531;-11.19;0.57;-11.19;0.0;0;531
532;-11.19;0.57;-11.19;0.0;0;532
533;-11.19;0.57;-11.19;0.0;0;533
534;-11.19;0.57;-11.19;0.0;0;534
535;-11.19;0.57;-11.19;0.0;0;535
536;-11.19;0.57;-11.19;0.0;0;536
537;-11.19;0.57;-11.19;0.0;0;537
538;-11.19;0.57;-11.19;0.0;0;538
539;-11.19;0.57;-11.19;0.0;0;539
540;-11.19;0.57;-11.19;0.0;0;540
541;-11.19;0.57;-11.19;0.0;0;541
542;-11.19;0.57;-11.19;0.0;0;542
543;-11.19;0.57;-11.19;0.0;0;543
544;-11.19;0.57;-11.19;0.0;0;544
545;-11.19;0.57;-11.19;0.0;0;545
546;-11.19;0.57;-11.19;0.0;0;546
547;-11.19;0.57;-11.19;0.0;0;547
548;-11.19;0.57;-11.19;0.0;0;548
549;-11.19;0.57;-11.19;0.0;0;549
550;-11.19;0.57;-11.19;0.0;0;550
551;-11.19;0.57;-11.19;0.0;0;551
552;-11.19;0.57;-11.19;0.0;0;552
553;-11.19;0.57;-11.19;0.0;0;553
554;-11.19;0.57;-11.19;0.0;0;554
555;-11.19;0.57;-11.19;0.0;0;555
556;-11.19;0.57;-11.19;0.0;0;556
557;-11.19;0.57;-11.19;0.0;0;557
558;-11.19;0.57;-11.19;0.0;0;558
559;-11.19;0.57;-11.19;0.0;0;559
560;-11.19;0.57;-11.19;0.0;0;560
561;-11.19;0.57;-11.19;0.0;0;561
562;-11.19;0.57;-11.19;0.0;0;562
563;-11.19;0.57;-11.19;0.0;0;563
564;-11.19;0.57;-11.19;0.0;0;564
565;-11.19;0.57;-11.19;0.0;0;565
566;-11.19;0.57;-11.19;0.0;0;566
567;-11.19;0.57;-11.19;0.0;0;567
568;-11.19;0.57;-11.19;0.0;0;568
569;-11.19;0.57;-11.19;0.0;0;569
570;-11.19;0.57;-11.19;0.0;0;570
571;-11.19;0.57;-11.19;0.0;0;571
572;-11.19;0.57;-11.19;0.0;0;572
573;-11.19;0.57;-11.19;0.0;0;573
574;-11.19;0.57;-11.19;0.0;0;574
